2025-05-02 22:00:41 - 
Tokens gerados:
2025-05-02 22:00:41 - <VAR, 'var', Linha 1, Coluna 0>
2025-05-02 22:00:41 - <ID, 'i', Linha 2, Coluna 4>
2025-05-02 22:00:41 - <DOIS_PONTOS, ':', Linha 2, Coluna 5>
2025-05-02 22:00:41 - <INT, 'inteiro', Linha 2, Coluna 7>
2025-05-02 22:00:41 - <PONTO_VIR, ';', Linha 2, Coluna 14>
2025-05-02 22:00:41 - <ID, 'j', Linha 3, Coluna 4>
2025-05-02 22:00:41 - <DOIS_PONTOS, ':', Linha 3, Coluna 5>
2025-05-02 22:00:41 - <INT, 'inteiro', Linha 3, Coluna 7>
2025-05-02 22:00:41 - <PONTO_VIR, ';', Linha 3, Coluna 14>
2025-05-02 22:00:41 - <ID, 'k', Linha 4, Coluna 4>
2025-05-02 22:00:41 - <DOIS_PONTOS, ':', Linha 4, Coluna 5>
2025-05-02 22:00:41 - <INT, 'inteiro', Linha 4, Coluna 7>
2025-05-02 22:00:41 - <PONTO_VIR, ';', Linha 4, Coluna 14>
2025-05-02 22:00:41 - <ID, 'valor', Linha 5, Coluna 4>
2025-05-02 22:00:41 - <DOIS_PONTOS, ':', Linha 5, Coluna 9>
2025-05-02 22:00:41 - <INT, 'inteiro', Linha 5, Coluna 11>
2025-05-02 22:00:41 - <PONTO_VIR, ';', Linha 5, Coluna 18>
2025-05-02 22:00:41 - <INICIO, 'inicio', Linha 7, Coluna 0>
2025-05-02 22:00:41 - <LEIA, 'leia', Linha 8, Coluna 4>
2025-05-02 22:00:41 - <ABRE_PAR, '(', Linha 8, Coluna 8>
2025-05-02 22:00:41 - <ID, 'n', Linha 8, Coluna 9>
2025-05-02 22:00:41 - <FECHA_PAR, ')', Linha 8, Coluna 10>
2025-05-02 22:00:41 - <PONTO_VIR, ';', Linha 8, Coluna 11>
2025-05-02 22:00:41 - <SE, 'se', Linha 9, Coluna 4>
2025-05-02 22:00:41 - <ABRE_PAR, '(', Linha 9, Coluna 7>
2025-05-02 22:00:41 - <ID, 'n', Linha 9, Coluna 8>
2025-05-02 22:00:41 - <OP_COMPARACAO, '<', Linha 9, Coluna 10>
2025-05-02 22:00:41 - <NUMERO_INTEIRO, '1', Linha 9, Coluna 12>
2025-05-02 22:00:41 - <FECHA_PAR, ')', Linha 9, Coluna 13>
2025-05-02 22:00:41 - <ENTAO, 'entao', Linha 9, Coluna 15>
2025-05-02 22:00:41 - <ESCREVA, 'escreva', Linha 10, Coluna 8>
2025-05-02 22:00:41 - <ABRE_PAR, '(', Linha 10, Coluna 15>
2025-05-02 22:00:41 - <CADEIA, '"Erro: numero deve ser maior ou igual a 1"', Linha 10, Coluna 16>
2025-05-02 22:00:41 - <FECHA_PAR, ')', Linha 10, Coluna 58>
2025-05-02 22:00:41 - <PONTO_VIR, ';', Linha 10, Coluna 59>
2025-05-02 22:00:41 - <SENAO, 'senao', Linha 11, Coluna 4>
2025-05-02 22:00:41 - <ID, 'i', Linha 12, Coluna 8>
2025-05-02 22:00:41 - <IGUAL, '=', Linha 12, Coluna 10>
2025-05-02 22:00:41 - <NUMERO_INTEIRO, '0', Linha 12, Coluna 12>
2025-05-02 22:00:41 - <PONTO_VIR, ';', Linha 12, Coluna 13>
2025-05-02 22:00:41 - <ENQUANTO, 'enquanto', Linha 13, Coluna 8>
2025-05-02 22:00:41 - <ABRE_PAR, '(', Linha 13, Coluna 17>
2025-05-02 22:00:41 - <ID, 'i', Linha 13, Coluna 18>
2025-05-02 22:00:41 - <OP_COMPARACAO, '<', Linha 13, Coluna 20>
2025-05-02 22:00:41 - <ID, 'n', Linha 13, Coluna 22>
2025-05-02 22:00:41 - <FECHA_PAR, ')', Linha 13, Coluna 23>
2025-05-02 22:00:41 - <FACA, 'faca', Linha 13, Coluna 25>
2025-05-02 22:00:41 - <ID, 'j', Linha 14, Coluna 12>
2025-05-02 22:00:41 - <IGUAL, '=', Linha 14, Coluna 14>
2025-05-02 22:00:41 - <NUMERO_INTEIRO, '0', Linha 14, Coluna 16>
2025-05-02 22:00:41 - <PONTO_VIR, ';', Linha 14, Coluna 17>
2025-05-02 22:00:41 - <ENQUANTO, 'enquanto', Linha 15, Coluna 12>
2025-05-02 22:00:41 - <ABRE_PAR, '(', Linha 15, Coluna 21>
2025-05-02 22:00:41 - <ID, 'j', Linha 15, Coluna 22>
2025-05-02 22:00:41 - <OP_COMPARACAO, '<=', Linha 15, Coluna 24>
2025-05-02 22:00:41 - <ID, 'i', Linha 15, Coluna 27>
2025-05-02 22:00:41 - <FECHA_PAR, ')', Linha 15, Coluna 28>
2025-05-02 22:00:41 - <FACA, 'faca', Linha 15, Coluna 30>
2025-05-02 22:00:41 - <ID, 'valor', Linha 16, Coluna 16>
2025-05-02 22:00:41 - <IGUAL, '=', Linha 16, Coluna 22>
2025-05-02 22:00:41 - <NUMERO_INTEIRO, '1', Linha 16, Coluna 24>
2025-05-02 22:00:41 - <PONTO_VIR, ';', Linha 16, Coluna 25>
2025-05-02 22:00:41 - <SE, 'se', Linha 17, Coluna 16>
2025-05-02 22:00:41 - <ABRE_PAR, '(', Linha 17, Coluna 19>
2025-05-02 22:00:41 - <ID, 'j', Linha 17, Coluna 20>
2025-05-02 22:00:41 - <OP_COMPARACAO, '>', Linha 17, Coluna 22>
2025-05-02 22:00:41 - <NUMERO_INTEIRO, '0', Linha 17, Coluna 24>
2025-05-02 22:00:41 - <FECHA_PAR, ')', Linha 17, Coluna 25>
2025-05-02 22:00:41 - <ENTAO, 'entao', Linha 17, Coluna 27>
2025-05-02 22:00:41 - <ID, 'valor', Linha 18, Coluna 20>
2025-05-02 22:00:41 - <IGUAL, '=', Linha 18, Coluna 26>
2025-05-02 22:00:41 - <NUMERO_INTEIRO, '1', Linha 18, Coluna 28>
2025-05-02 22:00:41 - <PONTO_VIR, ';', Linha 18, Coluna 29>
2025-05-02 22:00:41 - <ID, 'k', Linha 19, Coluna 20>
2025-05-02 22:00:41 - <IGUAL, '=', Linha 19, Coluna 22>
2025-05-02 22:00:41 - <NUMERO_INTEIRO, '0', Linha 19, Coluna 24>
2025-05-02 22:00:41 - <PONTO_VIR, ';', Linha 19, Coluna 25>
2025-05-02 22:00:41 - <ENQUANTO, 'enquanto', Linha 20, Coluna 20>
2025-05-02 22:00:41 - <ABRE_PAR, '(', Linha 20, Coluna 29>
2025-05-02 22:00:41 - <ID, 'k', Linha 20, Coluna 30>
2025-05-02 22:00:41 - <OP_COMPARACAO, '<', Linha 20, Coluna 32>
2025-05-02 22:00:41 - <ID, 'j', Linha 20, Coluna 34>
2025-05-02 22:00:41 - <FECHA_PAR, ')', Linha 20, Coluna 35>
2025-05-02 22:00:41 - <FACA, 'faca', Linha 20, Coluna 37>
2025-05-02 22:00:41 - <ID, 'valor', Linha 21, Coluna 24>
2025-05-02 22:00:41 - <IGUAL, '=', Linha 21, Coluna 30>
2025-05-02 22:00:41 - <ABRE_PAR, '(', Linha 21, Coluna 32>
2025-05-02 22:00:41 - <ID, 'valor', Linha 21, Coluna 33>
2025-05-02 22:00:41 - <OP_ARIT, '*', Linha 21, Coluna 39>
2025-05-02 22:00:41 - <ABRE_PAR, '(', Linha 21, Coluna 41>
2025-05-02 22:00:41 - <ID, 'i', Linha 21, Coluna 42>
2025-05-02 22:00:41 - <OP_ARIT, '-', Linha 21, Coluna 44>
2025-05-02 22:00:41 - <ID, 'k', Linha 21, Coluna 46>
2025-05-02 22:00:41 - <FECHA_PAR, ')', Linha 21, Coluna 47>
2025-05-02 22:00:41 - <FECHA_PAR, ')', Linha 21, Coluna 48>
2025-05-02 22:00:41 - <PONTO_VIR, ';', Linha 21, Coluna 49>
2025-05-02 22:00:41 - <ID, 'valor', Linha 22, Coluna 24>
2025-05-02 22:00:41 - <IGUAL, '=', Linha 22, Coluna 30>
2025-05-02 22:00:41 - <ABRE_PAR, '(', Linha 22, Coluna 32>
2025-05-02 22:00:41 - <ID, 'valor', Linha 22, Coluna 33>
2025-05-02 22:00:41 - <OP_ARIT, '/', Linha 22, Coluna 39>
2025-05-02 22:00:41 - <ABRE_PAR, '(', Linha 22, Coluna 41>
2025-05-02 22:00:41 - <ID, 'k', Linha 22, Coluna 42>
2025-05-02 22:00:41 - <OP_ARIT, '+', Linha 22, Coluna 44>
2025-05-02 22:00:41 - <NUMERO_INTEIRO, '1', Linha 22, Coluna 46>
2025-05-02 22:00:41 - <FECHA_PAR, ')', Linha 22, Coluna 47>
2025-05-02 22:00:41 - <FECHA_PAR, ')', Linha 22, Coluna 48>
2025-05-02 22:00:41 - <PONTO_VIR, ';', Linha 22, Coluna 49>
2025-05-02 22:00:41 - <ID, 'k', Linha 23, Coluna 24>
2025-05-02 22:00:41 - <IGUAL, '=', Linha 23, Coluna 26>
2025-05-02 22:00:41 - <ID, 'k', Linha 23, Coluna 28>
2025-05-02 22:00:41 - <OP_ARIT, '+', Linha 23, Coluna 30>
2025-05-02 22:00:41 - <NUMERO_INTEIRO, '1', Linha 23, Coluna 32>
2025-05-02 22:00:41 - <PONTO_VIR, ';', Linha 23, Coluna 33>
2025-05-02 22:00:41 - <FIM_ENQ, 'fimenquanto', Linha 24, Coluna 20>
2025-05-02 22:00:41 - <FIM_SE, 'fimse', Linha 25, Coluna 16>
2025-05-02 22:00:41 - <ESCREVA, 'escreva', Linha 26, Coluna 16>
2025-05-02 22:00:41 - <ABRE_PAR, '(', Linha 26, Coluna 23>
2025-05-02 22:00:41 - <ID, 'valor', Linha 26, Coluna 24>
2025-05-02 22:00:41 - <FECHA_PAR, ')', Linha 26, Coluna 29>
2025-05-02 22:00:41 - <PONTO_VIR, ';', Linha 26, Coluna 30>
2025-05-02 22:00:41 - <ID, 'j', Linha 27, Coluna 16>
2025-05-02 22:00:41 - <IGUAL, '=', Linha 27, Coluna 18>
2025-05-02 22:00:41 - <ID, 'j', Linha 27, Coluna 20>
2025-05-02 22:00:41 - <OP_ARIT, '+', Linha 27, Coluna 22>
