<ENTAO, 'ler', Linha 1, Coluna 0>
<FINAL, '(', Linha 1, Coluna 4>
<OP_ARIT, 'n', Linha 1, Coluna 5>
<ASPAS, ')', Linha 1, Coluna 6>
<ESP_BRANCO, ';', Linha 1, Coluna 7>
<SENAO, 'se', Linha 2, Coluna 0>
<FINAL, '(', Linha 2, Coluna 3>
<OP_ARIT, 'n', Linha 2, Coluna 4>
<FECHA_PAR, '==', Linha 2, Coluna 6>
<OP_LOGICO, '0', Linha 2, Coluna 9>
<ENQUANTO, 'entao', Linha 2, Coluna 11>
<SE, 'escrever', Linha 3, Coluna 4>
<FINAL, '(', Linha 3, Coluna 13>
<UNKNOWN(21), '"', Linha 3, Coluna 14>
<OP_ARIT, 'erro', Linha 3, Coluna 15>
<UNKNOWN(21), '"', Linha 3, Coluna 19>
<ASPAS, ')', Linha 3, Coluna 20>
<ESP_BRANCO, ';', Linha 3, Coluna 21>
<FAA, 'senao', Linha 4, Coluna 0>
<OP_ARIT, 'linha', Linha 5, Coluna 4>
<ESCREVER, '=', Linha 5, Coluna 10>
<OP_LOGICO, '1', Linha 5, Coluna 12>
<ESP_BRANCO, ';', Linha 5, Coluna 13>
<FIM, 'enquanto', Linha 6, Coluna 4>
<FINAL, '(', Linha 6, Coluna 13>
<OP_ARIT, 'linha', Linha 6, Coluna 14>
<FECHA_PAR, '<=', Linha 6, Coluna 20>
<OP_ARIT, 'n', Linha 6, Coluna 23>
<ASPAS, ')', Linha 6, Coluna 24>
<INTEIRO, 'faça', Linha 6, Coluna 26>
<OP_ARIT, 'coluna', Linha 7, Coluna 8>
<ESCREVER, '=', Linha 7, Coluna 15>
<OP_LOGICO, '1', Linha 7, Coluna 17>
<ESP_BRANCO, ';', Linha 7, Coluna 18>
<FIM, 'enquanto', Linha 8, Coluna 8>
<FINAL, '(', Linha 8, Coluna 17>
<OP_ARIT, 'coluna', Linha 8, Coluna 18>
<FECHA_PAR, '<=', Linha 8, Coluna 25>
<OP_ARIT, 'linha', Linha 8, Coluna 28>
<ASPAS, ')', Linha 8, Coluna 33>
<INTEIRO, 'faça', Linha 8, Coluna 35>
<SE, 'escrever', Linha 9, Coluna 12>
<FINAL, '(', Linha 9, Coluna 20>
<OP_ARIT, 'coluna', Linha 9, Coluna 21>
<ASPAS, ')', Linha 9, Coluna 27>
<ESP_BRANCO, ';', Linha 9, Coluna 28>
<OP_ARIT, 'coluna', Linha 10, Coluna 12>
<ESCREVER, '=', Linha 10, Coluna 19>
<OP_ARIT, 'coluna', Linha 10, Coluna 21>
<OP_COMPARACAO, '+', Linha 10, Coluna 28>
<OP_LOGICO, '1', Linha 10, Coluna 30>
<ESP_BRANCO, ';', Linha 10, Coluna 31>
<STRING, 'fim', Linha 11, Coluna 8>
<OP_ARIT, 'linha', Linha 12, Coluna 8>
<ESCREVER, '=', Linha 12, Coluna 14>
<OP_ARIT, 'linha', Linha 12, Coluna 16>
<OP_COMPARACAO, '+', Linha 12, Coluna 22>
<OP_LOGICO, '1', Linha 12, Coluna 24>
<ESP_BRANCO, ';', Linha 12, Coluna 25>
<STRING, 'fim', Linha 13, Coluna 4>
<STRING, 'fim', Linha 14, Coluna 0>
