Token: INICIO, Lexema: 'inicio', Linha: 1, Coluna: 1
Token: INTEIRO, Lexema: 'inteiro', Linha: 2, Coluna: 1
Token: ID, Lexema: 'n', Linha: 2, Coluna: 8
Token: PONTO_VIR, Lexema: ';', Linha: 2, Coluna: 9
Token: INTEIRO, Lexema: 'inteiro', Linha: 3, Coluna: 1
Token: ID, Lexema: 'i', Linha: 3, Coluna: 8
Token: PONTO_VIR, Lexema: ';', Linha: 3, Coluna: 9
Token: INTEIRO, Lexema: 'inteiro', Linha: 4, Coluna: 1
Token: ID, Lexema: 'j', Linha: 4, Coluna: 8
Token: PONTO_VIR, Lexema: ';', Linha: 4, Coluna: 9
Token: INTEIRO, Lexema: 'inteiro', Linha: 5, Coluna: 1
Token: ID, Lexema: 'valor', Linha: 5, Coluna: 8
Token: PONTO_VIR, Lexema: ';', Linha: 5, Coluna: 13
Token: ESCREVER, Lexema: 'escrever', Linha: 7, Coluna: 1
Token: ABRE_PAR, Lexema: '(', Linha: 7, Coluna: 9
Token: ASPAS, Lexema: '"', Linha: 7, Coluna: 10
Token: ID, Lexema: 'Digite', Linha: 7, Coluna: 11
Token: ID, Lexema: 'o', Linha: 7, Coluna: 17
Token: ID, Lexema: 'n', Linha: 7, Coluna: 18
ERRO LÉXICO [Linha 7, Coluna 19]: Símbolo 'Ã' inválido.
ERRO LÉXICO [Linha 7, Coluna 20]: Símbolo 'º' inválido.
Token: ID, Lexema: 'mero', Linha: 7, Coluna: 21
Token: ID, Lexema: 'de', Linha: 7, Coluna: 25
Token: ID, Lexema: 'linhas', Linha: 7, Coluna: 27
Token: ID, Lexema: 'do', Linha: 7, Coluna: 33
Token: ID, Lexema: 'Tri', Linha: 7, Coluna: 35
ERRO LÉXICO [Linha 7, Coluna 38]: Símbolo 'Ã' inválido.
ERRO LÉXICO [Linha 7, Coluna 39]: Símbolo '¢' inválido.
Token: ID, Lexema: 'ngulo', Linha: 7, Coluna: 40
Token: ID, Lexema: 'de', Linha: 7, Coluna: 45
Token: ID, Lexema: 'Pascal', Linha: 7, Coluna: 47
ERRO LÉXICO [Linha 7, Coluna 53]: Símbolo ':' inválido.
Token: ASPAS, Lexema: '"', Linha: 7, Coluna: 54
Token: FECHA_PAR, Lexema: ')', Linha: 7, Coluna: 55
Token: PONTO_VIR, Lexema: ';', Linha: 7, Coluna: 56
Token: LER, Lexema: 'ler', Linha: 8, Coluna: 1
Token: ABRE_PAR, Lexema: '(', Linha: 8, Coluna: 4
Token: ID, Lexema: 'n', Linha: 8, Coluna: 5
Token: FECHA_PAR, Lexema: ')', Linha: 8, Coluna: 6
Token: PONTO_VIR, Lexema: ';', Linha: 8, Coluna: 7
Token: SE, Lexema: 'se', Linha: 10, Coluna: 1
Token: ABRE_PAR, Lexema: '(', Linha: 10, Coluna: 3
Token: ID, Lexema: 'n', Linha: 10, Coluna: 4
Token: OP_COMPARACAO, Lexema: '<', Linha: 10, Coluna: 5
Token: NUMERO, Lexema: '1', Linha: 10, Coluna: 6
Token: FECHA_PAR, Lexema: ')', Linha: 10, Coluna: 7
Token: ENTAO, Lexema: 'entao', Linha: 10, Coluna: 8
